text,summary
minal Appeal No. 3 of 1972.,"Appeal by special leave from the judgment and order dated January 25, 1971 of the Madhya Pradesh High Court, Indore Bench in Criminal Appeal No. 391 of 1969."
"On a report that R and M, both employees of the appellant waylaid A, another employee and assaulted him outside the factory, the appellant held an enquiry and sought approval for the dismissal of R and M from the Industrial Tribunal, before which an industrial dispute was pending.",The Tribunal approved the dismissal of R but not that of M. Thereupon R was dismissed.
Appeal No.110 of 1957.,"Appeal by special leave from the judgment and order dated February 25, 1955, of the former Bombay High Court in I.T.R. No. 57/X of 1954."
Appeals Nos. 10 and 10 A of 1952.,"Appeal from the Judgment and Order dated 11th January, 1950, of the High Court of Judicature at Madras in Cases Referred Nos. 80 of 1946 and 38 of 1948."
Appeal No. 1370 of 1966.,"Appeal from the Judgment and decree dated February 16, 1966 of the Rajasthan High Court in D. B. Civil Regular First Appeal No. 86 of 1958."
The petitioner joined as a primary teacher in 1952 in an aided recognised school.,She was making contribution towards compulsory provident fund.
R who was tried for an offence under section 16 read with section 7 of the Prevention.,of Food Adulteration Act.
An arbitrator appointed by the appellants and respondent partitioned their immovable property exceeding the value of Rs. 100.,The arbitrator applied under section 14 of the Indian to the Court for making the award a rule of the court.
"The appellants, owners of the premises in question obtained a decree of eviction against the tenant, Respondent No. 7.","While the decree was under challenge before the High Court, Respondent Nos. 1 to 5 approached the High Court under article 226 of the Constitution, claiming that, being members of Joint Hindu Family, alongwith the lather of Respondent No. 7, they were tenants in their own right under the appellants and were not bound by the decree, since they were not parties in the eviction case."
Appeal No. 294 of 1955.,"Appeal by special leave from the Judgment and Order dated the 7th September, 1955, of the Nagpur High Court, in Civil Revision No. 833 of 1954."
"The appellant offered the highest bid at the auction for the grant of royalty collection contract on January 21, 1964.",Respondent No.2 a cooperative society of workers was also one of the bidders.
Appeal No.230 of 1954.,Petition No. 276 of 1953.
N: Criminal Appeal No. 193 of 1979.,From the Judgment and Order dated 23 1 1979 of the Gujarat High Court in Special Criminal Application No. 8/79.
Eclipse Film Partners No 35 LLP (Eclipse) filed a tax return in respect of the period which ended on 5 April 2007.,HM Revenue & Customs (the Revenue) issued a closure notice determining that Eclipse did not carry on a trade or business.
"The K company, who.","were the managing agents of the F Company, entered into an agreement on May 21, 1952, with the M Company, whereby the entire share holding of the K Company consisting of certain preference and ordinary shares were to be sold to the M Company or their nominees."
: Criminal Appeal No. 282 of 1971.,(Appeal by Special Leave from the Judgment and Order dated 12 4 1971 of the Allahabad High Court in Criminal Appeal No. 1909/68).
Appeal No. 1369 of 1968.,"Appeal from the judgment and order dated August 1, 1967 of the Andhra Pradesh High Court in Case Referred No. 68 of 1964."
SDICTION: Writ Petition (Criminal) No.248 of 1988.,(Under Article 32 of the Constitution of India).
Civil Appeal No. 2203 of 1970.,Appeal by Special Leave from the Judgment and order dated the 26th September.
"The appellant, a dealer in pulses in Vijayawada in Madras State made certain sales outside the State during the assessment year 1949 50.",The appellant claimed exemption from sales tax of sales effected outside the State during the year but the Deputy Commercial Tax Officer disallowed the claim.
"On 22 November 2007, three brothers, Patrick Mackle, Plunkett Jude Mackle (commonly known as Jude) and Benedict Mackle, all pleaded guilty to the offence of being knowingly concerned in the fraudulent evasion of duty on goods contrary to Section 170(2)(a) of the Customs & Excise Management Act 1979.","In a separate trial, on 18 November 2008, Henry McLaughlin pleaded guilty to a similar offence."
Civil Appeal No. 364 of 1981.,"Appeal by special leave from the Award dated the 31st May, 1980 of the Additional Labour Court, Delhi in Industrial I.D. No. 62 of 1976."
The world community recognises human trafficking and modern slavery as twin evils requiring a world wide response.,"The United Kingdom is party to both the 2000 Palermo Protocol (the Protocol to Prevent, Suppress and Punish Trafficking in Persons, especially Women and Children, supplementing the United Nations Convention against Transnational Organised Crime) and the 2005 Council of Europe Convention on Action against Trafficking in Human Beings (ECAT)."
Under the Bihar & Orissa Excise Act the holder of an outstill licence for country liquor pays a certain sum per mensem for manufacturing country spirit in his outstill and selling it by retail in his premises.,No definite area is fixed within which each outstill has the monopoly to supply country spirit but their number is regulated according to rules and five miles is taken as the minimum distance between one outstill and another.
Civil Appeal Nos. 1212 and 1213 of 1968.,From the Judgment and Decree dated 2 5 1960 of the Madras High Court in Appeals Nos. 20 and 61 of 1960.
Civil Appeals Nos.,1303 of 1972 and 1538 of 1971.
"On 22 September 2015, Bernadette Hilton was convicted at Belfast Magistrates court on her plea of guilty of three offences contrary to section 105A of the Social Security Administration (Northern Ireland) Act 1992.",One of the offences related to her failure to notify the Social Security Agency of a change in her circumstance which would have affected her entitlement to claim Income Support.
"A combined reading of sections 42(4), 78(1)(A)(a)(i), 79(1) and (3) of the Bombay Industrial Relations Act, 1946, and r. 53 of the Rules made under the Act, shows that an application under section 79(1) to the Labour Court, in respect of a dispute falling under section 78(1)(A)(a)(i) must be made within 3 months of the arising of the dispute; and that the dispute would be deemed to have arisen if, within a period of 15 days from the receipt of a letter of approach under section 42(4) by the employer, or within such further period as may be mutually fixed by the employer and the employee, no agreement is arrived at in respect of the change desired by the employee.","In the present case, the letter of approach under section 42(4) claiming that his age was only 56 years and so he should not be retired, was sent by the employee (respondent) to the employer (appellant) on February 13, 1973."
The petitioner was born and studied upto class IX in Delhi.,"In 1982 she left for Nigeria, along with her parents, where her father went on deputation."
"On an application flied by the respondent landlord in March 1973 for eviction of the appellant tenant on the ground that for a continuous period of more than four months the appellant had ceased to occupy the shop during 1969 71, the Rent Controller passed a decree for eviction under Section 13(2)(v) of the East Punjab Rent Restriction Act, 1949.",The appellate authority affirmed the decree.
The facts of this case were almost identical with that of Municipal Corporation of Delhi vs Ram Kishan Rohtagi and Ors.,(the case reported immediately before this one).
"In 2003 the Appellant purchased a flat in London for 775,000.","To do so, he paid 310,000 from his own resources and was provided with the remaining balance of 465,000 by a mortgage lender, on the basis of false statements he made about his employment record and earnings."
ivil Appeal No. 2225 of 1991.,From the Judgment and Order dated 12.10.1990 of the Himachal Pradesh High Court in R.S.A. No. 134 of 1979.
"The appellant, a Corporation was created under the Jammu functions was to undertake the removal and disposal of trees and exploitation of the forest resources entrusted to it by the Government.",The Corporation took a decision for the extraction of timber of a total volume of 10.08 lakh c. ft. which included the work of felling and removal of trees.
The appeals arise out of the attempted enforcement of an investment arbitration award (the Award) in favour of the Respondents to this appeal (the Claimants) against the Appellant (Romania) in relation to investments made by the Claimants in food production in Romania before the country acceded to the European Union (EU).,"With effect from 1 April 1999, Romania adopted an investment incentive scheme for certain regions (EGO 24)."
"The Gujarat Panchayats Act, 1961 was enacted to consolidate and amend the law relating to village panchayats and district local boards with a view to reorganise the administration pertaining to local Government in furtherance of the object of democratic decentralisation of powers in favour of different classes of panchayats.",It was provided that the state Government should exercise control over panchayats either directly or through such officer or officers as it may appoint for that purpose.
87 of 1957.,Petition under article 32 of the Constitution of India for enforcement of fundamental rights.
Appeal No. 276 of 1956.,"Appeal from the judgment and decree dated October 15, 1954, of the Allahabad High Court in Execution First Appeal No. 224 of 1951."
"The appellant Trust prepared a development scheme under the provisions of the Punjab Town Improvement Trust Act, 1922 covering certain lands including that of the respond ents.","Notice inviting objections was published in a dally Newspaper on 9th, 16th and 23rd April, 1976."
"The assessee company was carrying on the business of coal mining and of a Dry Ice Factory, in addition to various other kinds of business.","It obtained a prospecting licence, and after prospecting for coal sold it within a short time of its acquisition and thereby earned profits in the accoun ting years 1948 49 and 1949 50."
"The Emperor Aurangazeb made certain grants to one Mukuldas Babajee, founder of the institution Poohari Fakir Sadavarthy, for the purpose of his maintenance and to carry on the distribution of Sadavarthy to Fakirs etc.",The sixth head of the institution built a shrine for his private worship.
A Samaradhanai Fund was started for the purpose of feeding Brahmin pilgrims attending Sri Venkatachalapathiswami shrine at village Gunaseelam (in Madras State) on the occasion of Rathotsavam festival.,On the enactment of the Madras Hindu Religious and Charitable Endowments Act 19 of 1951 the Deputy Commissioner of Hindu Religious and Charitable Endowments initiated proceedings under section 57(d) of the Act and held that the aforesaid fund was a religious charity ' within the meaning of section 6(13) of the Act.
"The respondents (workmen of the appellant) raised on indus trial dispute and pleaded before the Labour Court that the appellant 's action in retrenching some of its employees was mala fide, as the appellant did not follow the ""first come.","last go"" rule."
Civil Appeal No. 530 of 1963.,"14 Appeal from the judgment and order dated February 14, 1963, of the Madhya Pradesh High Court in First Appeal No. 34 of 1962."
"The respondent, a dealer in hides and skins and export ing the same out of the territory of India, entered into transactions failing within the purview of sub section (3) of Section 5 of the and which could not be taxed because of constitutional bar under Article 286( 1 )(a) of the Constitution of India, furnished Form III A under Rule 12 A of the U.P. Sales Tax Act, as an appropriate form to meet the situation was not devised under the U.P. Sales Tax Act, and sought a clarification from the Commissioner, Sales Tax, as to whether the firm was liable to tax under Section 3 AAAA of the U.P. Sales Tax Act on the purchases made against Form III A or H under the , when such dressed hides and skins were ex ported beyond the territory of India.","The Commissioner, Sales Tax clarified and held that the purchases of dressed hides and skins made against Form H were not liable to purchase tax under Section 3 AAAA of the U.P. Sales Tax Act provided the same were exported outside the territory of India and the conditions laid down in Section 5(3) of the were satisfied, but if the purchases were made against Form III A and exported outside the terri tory of India, they shall be liable to purchase tax under Section 3 AAAA."
Appeal No 320 of 1955.,"Appeal by special leave from the judgment and order dated October 19, 1954 of the Labour Appellate Tribunal of India at Bombay in Appeal No. 76 of 1954."
"Respondent 1, a conductor of the Mysore Government Road Transport Department was dismissed.",for misconduct on 25 1 1961.
Civil Appeal No. 172 of 1979 From the Judgment and order dated 4.4.1978 of the Delhi High Court in Civil Writ No. 261 of 1978.,B.R. Aggarwala for the Appellants.
iminal Appeal No. 34 of 1953.,"Appeal from the Judgment and Order dated the 5th January, 1953, of the High Court of Judicature at Allahabad (Lucknow Bench), Lucknow (Kidwai and Bhargava JJ.) in Criminal Appeal Register No. 24 of 1952 and Capital Sentence Register No. 4 of 1952 arising out of the Judgment and Order dated the 19th January 1952, of the Court of the Sessions Judge, Sitapur, in Sessions Case No. 97 of 1951."
ivil Appeal No. 1743 of 1975.,"(Appeal by special leave from the judgment and order dated 5.9.1975 of the Rajasthan High Court in S.B. Civil 2nd Appeal 302 of 1974) M. Jain,., for the appellant."
"iminal Appeals Nos. 67, 136 and 172 of 1959 and 82 and 83 of 1962.","Appeals by special leave from the judgment and order dated November 3, 1958 in Criminal Appeals Nos. 196, 256 and 363 of 1958."
No. 224 of 1959.,"Appeal from the judgment and decree dated August 28, 1956, of the Madhya Pradesh High Court in F.A. No. 90 of 1949."
"'Appeals Nos.950 957, 1141 1143 and 1703 1712/1966.","Appeals by special leave from the judgement and order dated September 9, 1964 of the Assam and Nagaland High Court in Civil Rules Nos. 115, 128, 134, 136, 151, 161, 197 and 160 of 1963."
"A writ petition was filed in the Calcutta High Court claiming the following reliefs: (1) That the Chief Election Commissioner and the Chief Electoral Officer be restrained from acting, either by themselves or through their subordinates, in pursuance of the instructions or directions issued by them from time to time; (ii) that they should be restrained from scoring out any names from the electoral rolls which were finally published; (iii) that they should be restrained from issuing or publishing any notification under section 15 (2) of the Representation of People Act of 1951 without preparing the electoral rolls de novo after the disposal of the appeals against orders whereby claims and objections were decided; and (iv) that they should be restrained from holding elections to the West Bengal Legislative Assembly until the disposal of all the claims, objections and appeals under the Representation of People Acts of 1950 and 1951, The writ petitioners who were eight in number were enrolled as voters in the electoral roll of the West Bengal Legislative Assembly.","Some of them were office bearers of political parties like the West Bengal State Muslim League, West Bengal Unit of the Janta Party, All India Christian Demarcate Party and West Bengal Congress Legislative Party."
"These appeals raise a number of points, some technical, others fundamental, relating to the requirements of and consequences of non compliance with the short and inflexible time limits introduced by the Extradition Act 2003.","Parts 1 and 2 of that Act deal with extradition to respectively category 1 territories in practice other member states of the European Union party to the Council Framework Decision of 13 June 2002 (2002/584/JHA) introducing the European Arrest Warrant, to which Part 1 gives effect and category 2 territories in relation to which a different and more traditional scheme applies."
Mr Nunn was convicted in November 2006 of killing his girlfriend following the end of their relationship.,"Her body was found by a river two days after that end, having been subjected to various indignities and abuses."
"Birmingham City Council (Birmingham) appeals against the order of the Court of Appeal (Mummery and Davis LJJ and Dame Janet Smith) dated 29 November 2011, whereby it dismissed Birminghams appeal against the order of Mr Colin Edelman QC, sitting as a deputy judge of the High Court, Queens Bench Division, dated 17 December 2010.","The deputy judge had dismissed Birminghams application for a direction that the claims made against it by 174 claimants, joined as parties to the single action, should be struck out."
ivil Appeal Nos.,191 193 of 1978.
ition No. 5858 of 1983.,"(Under Article 32 of the Constitution of India) G.L. Sanghi, M.T. Siddiqi and Irfan Ahmed for the Petitioners."
"Section 195(1)(b) of the Code of Criminal Procedure, 1898 provides that no Court shall take cognizance of any offence punishable under section 205 (among others) I.P.C. when such offence is alleged to have been committed in or in relation to any proceedings in any Court, except on the complaint in writing of such Court.","Clause (c) of this sub section provides that no Court shall take cognizance of any offence described in, among others, section 471 when such offence is alleged to have been committed by a party to any proceedings in any Court in respect of a document produced except on the complaint in writing of such Court."
ON: Civil Appeal Nos.,1454 56 of 1993 etc.
"In exercise of the powers under section 3 of the Essential Supplies (Temporary Powers) Act, 1946, the Central Government made the Cotton Textile (Control of Movement) Order, 1948.","The 1946 Act was to expire on January 26, 1955, but before that, on January 21, 1955, the Essential Commodities Ordinance was promulgated which conferred on the Central Government a power similar to that conferred by section 3 of the 1946 Act."
Special Leave Petition (Civil) Nos.,16041 42/88.
Scottish Widows Plc (Scottish Widows) is a life assurance company.,"It was established in 2000, when it acquired the business of Scottish Widows Fund and Life Assurance Society (the Society) under a scheme of transfer which had been approved by the Court of Session in Scotland."
minal Appeal No. 109 of 1967.,"Appeal by special leave from the judgment and order dated May 4, 1967 of the Patna High Court in Criminal Appeal No. 455 of 1965."
ivil Appeal No. 1065 of 1987.,From the Judgment and Order dated 21.10.1986 of the Kerala High Court in S.A. No. 491 of 1980.
"The appellant made a complaint against the respondent, an Assistant Commissioner of Police for having committed an offence under section 348, Indian Penal Code, alleging that on the arrest of the appellant under section 1208/420 Indian Penal Code, the respondent had refused to grant him bail until a certain sum was paid or acknowledged in writing to be paid to the complainant.",The Chief Presidency Magistrate issued process.
"Section 6 of Andhra Pradesh General Sales Tax Act, 1957 provides a single point tax @ 4 % on declared goods, mentioned in the Third Schedule to that Act.","Item (2) of the Third Schedule describes the articles made of Iron & steel which fall in the category of 'declared goods '; sub item (i) of Item (2) pertains to ""pig iron and cast iron including ingot moulds, bottom plates, iron scrap, cast iron scrap, runner scrap and iron skill scrap"". 'Cast iron ' is defined in the Concise Oxford Dictionary as ""a hard alloy of iron, carbon and silicon cast in a mould""."
"Ever since 1933, a cattle fair called Nagar Cattle Hat is being held on Saturday every week by the Nagar Quorania Junior High Madrassah.","Since 1974, respondent No. 6, a club called Prabartak Parishad set up a parallel cattle fair at Sherpur, about two kilometres away from the site of Nagar Cattle Hat on every Saturday, known as Sherpur Cattle Hat."
"On 4 3 1968, the date of the accident.","Karnal Singh, the accused was driving the truck No. MRS 7372."
"Civil Appeal No. 3429 of 1982 Appeal by Special leave from the Judgment and order dated the 29th July, 1982 of the Madhya Pradesh High Court in Misc.",Petition No. 1169 of 1981.
Appeal No. 2053 of 1971.,"Appeal by special leave from the Judgment & Order dated the 8th July, 1971 of the Bombay High Court in S.C.A. No. 1346/68."
tition Nos.,4228 4230 of 1978 and 266 of 1979.
vil Appeal Nos.,63031 of 1975.
Appeal No. 2354 of 1966.,Appeal from the judgment and order dated July 1963 of the Punjab High Court in Civil Writ No. 1559 of 1962.
"The business of the appellant consisted in the purchase of copra, manufacture of cocoanut oil and cake therefrom and sale of oil and cake to parties inside the State of Travancore Cochin and sale of oil to parties outside the State.","Before the coming into force of the Constitution of India, under the provisions of the Travancore Cochin General Sales Tax Act, 1125, and the rules made thereunder, for the purposes of assessment to sales tax, the appellant wag entitled to include in his gross turnover the total value of the oil sold by him whether inside the State or outside the State and to deduct therefrom the whole of the value of the copra purchased by him."
Civil Appeal No. 748 of 1968.,"637 (Fazal Ali, J.) Appeal by Special Leave from the Judgment and Decree dated the 14th February, 1967 of he Bombay High Court in Civil First Appeal No. 888 of 1959."
No. 7 of 1972.,"Under Article 32 of the Constitution of India for a writ In the, nature of habeas corpus."
This appeal raises a short issue as to the requirements for valid service of a completion notice so as to bring a newly completed building within liability for non domestic rates.,The statutory framework
"The case concerns whether Zipvit, a trader selling vitamins and minerals by mail order, is entitled when accounting for VAT on its sales to make deductions of input VAT (the tax paid by the trader on goods and services purchased in connection with its business, as opposed to output VAT, which is the tax charged to the consumer by the trader on its goods or services) in respect of the price of postal services supplied to it by Royal Mail.","Under Royal Mails terms and conditions, Zipvit was required to pay the commercial price for the supply plus such amount of VAT (if any) as was chargeable."
By October 2003 pressure groups had complained that coverage by the British Broadcasting Corporation [BBC] of the Israeli Palestinian conflict was not impartial [6].,"In November 2003 Mr Malcolm Balen was appointed by the BBC to produce a report on the quality and impartiality of its coverage of Middle Eastern affairs [the Balen Report], which was intended to be an internal briefing document [6 7]."
ition Nos. 9222 to 9226 of 1981.,(Under Article 32 of the Constitution of India).
"The firm consisting of the appellant and another, carrying on managing agency business, was on March 31, 1951, assessed to excess profits tax for the year 1942 and the broken period from January, 1943 to March 4, 1943.","The prescribed notices were served not on the appellant but on the other partner who, under the terms of the partnership deed, was the managing partner."
"Under the powers conferred by section 8(1) of the Foreign Exchange Regulation Act, 1947, the Central Government issued a notification on August 25, 1948, placing a ban on the importation of gold except with the permission of the Reserve Bank.","Section 23A of the Act, which was introduced by an amendment in 1952, provided that"". the restrictions imposed by section 8(1). shall be deemed to have been imposed under section 19 of the , and all the provisions of the Act shall have effect accordingly. "" Section 19 of the , enabled the Central Government, by notification, to prohibit or restrict the bringing goods of any specified description into 787 India and, by reason of other :provisions of that Act, goods imported in contravention of the notification issued under section 19 were liable to confiscation."
ence No. 1 of 1964.,Special Reference under article 143 of the Constitution of India.
"The Cutchi Memons had migrated from Cutch to Bombay, Madras and other places.","They were originally Hindus and were converted to Islam three or four hundred years ago. 'Me family of the respondents originally settled in Madras, and between 1928 and 1930, went over to Mysore and settled down in the Bangalore Civil Station."
"Rule 64, Order XXI CPC empowers the Court executing a decree to bring to sale any property attached by it or such portion thereof as may seem necessary to satisfy the decree.",The appellant 's land measuring 10 acres was brought to court sale in execution of a decree.
Civil Appeals Nos.,"27l6 27l8 of 1972 Appeals by Special Leave from the Judgment and Order dated the 14 7 1972 of the Kerala High Court in income Tax Reference Nos. 100, 101 and 102 of 1970 WITH CIVIL APPEAL NOS."
"When is it lawful for a local housing authority to accommodate a homeless person a long way away from the authoritys own area where the homeless person was previously living? There is no doubt that, for a variety of reasons, such out of borough placements have become increasingly common in recent years.","The latest national statistics show that in September 2014 a quarter of all temporary accommodation for homeless people was provided in a different council area, an increase from 21% in September 2013."
"The appellants were members of the East India Cotton Association which was an association recognised by the Cen tral Government under the Forward Markets Regulation Act, 1952.","Prioi to December 1955, they had entered into ""hedge contracts"" in respect of cotton for settlements in February and May 1956 in accordance with the bye laws of the Associa tion."
vil Appeal No. 215 of 1964.,"Appeal from the judgment and order dated August 24, 1961 of the Madras High Court in Case referred No. 102 of 1957."
Civil Appeal No. 1727 of 1972.,(Appeal from the Judgment and order dt.
"In a suit filed in the High Court for a declaration and relief in respect of several properties, the Official Receiver of the High Court was appointed Receiver.","On the request of the parties, the official Receiver, decided to sell one of the properties with the permission of the Court."
vil Appeal No. 11 (N) of 1969.,From the Judgment and Order dated 22/23.8.
"In pursuance of an agreement between the assessee respondent and another firm L & Co., by which, L agreed to assist the respondent in procuring coal for export whenever asked to do so and not to export any coal during the subsistence of the agreement, L supplied various quantities of coal to the respondent and the respondent made payments as pet the agreement.","The respondent claimed the payments as admissible expenditure under section 10(2)(xv) of the Income tax Act, 1922, during the relevant assessment years."
"Item 42 of Part IV of the Import Trade Control Schedule permitted ""fodder. . "" to be imported without a special import licence from a soft Currency area.","Item 32 of the same Schedule related to ""grain. and included oats; and a licence was necessary for importing goods covered by this item."
"Is the description that there is in general in that State no serious risk of persecution of persons entitled to reside in that State, in section 94(5) of the Nationality, Immigration and Asylum Act 2002, applicable to a state in which a) there is a serious risk of persecution of gays and other members of the LGBT community, b) that community is estimated to amount to between 5% and 10% of the population and c) there is no such risk affecting the remainder of the population? The state in question is Jamaica. 3.","At first instance Mr Nicholas Paines QC, sitting as a Deputy High Court Judge in the Administrative Court, held that the Home Secretary could rationally find that the words applied to Jamaica, since 90% or more of the population did not face a serious risk of persecution."
ION: Civil Appeal No. 660 of 1988.,From the Judgment and Order dated 20.8.1987 of the Gujarat High Court in Election Petn.
"On November 11, 1968 the Petitioner was apprehended carrying contraband gold in a Maruti Car driven by him.",He was taken into custody and the seized gold was confiscated.
ition Nos. 5670 and 6216 of 1980.,"(Under Article 32 of the Constitution) Mrs. K. Hingorani, Mr. Hingorani, Mukul Mudgal and Damodar Prakash for the Petitioners."
Appeal Nos.,173031/1993.
J executed a trust deed whereby he created a charitable trust.,"The 4iced was registered with the Charity Commissioner under the Bombay Public Trust Act, 1950."
By its judgment in this appeal dated 24 March 2010 the Supreme Court referred to the Court of Justice five questions regarding the nature and assessment of the concept of paid annual leave in articles 7 of Council Directives 93/104/EC and 2003/88/EC and clause 3 of the European Agreement annexed to and intended to be implemented under Council Directive 2000/79/EC (the Aviation Directive).,The Court of Justice by its judgment dated 15 September 2011 gave its response: British Airways plc v Williams (Case C 155/10) [2012] ICR 847.
"The relations between one G and his wife were strained and she went to live with her father B and her brother V, the appellant.","G, with three others, went to the quarter of B and he went inside and came out dragging his reluctant wife behind him."
The petitioner who was carrying on the business of the manufacture of celluloid and plastic bangles etc.,"was granted two licences dated January 18, 1960, and February 2, 1060, for the purpose of importing cellulose nitrate sheets for two licensing periods, April/September, 1950, and October/March, 1960, On getting information that the petitioner had no machinery or equipment at the premises nor possessed any municipal licence or factory licence, the Imports and Exports authorities issued a notice dated May 27. 1960, to the petitioner to the effect that the Government of India proposed to cancel the licences granted to him, in exercise of the powers conferred by cl. 9 of the Imports (Control) Order, 1955, unless sufficient cause against this was furnished within ten days of the date of issue of the notice."
vil Appeal No. 1862 (NT) of 1971.,From the Judgment & Order dated 13.7.1970 of the High Court of Allahabad at Lucknow Bench in Writ Petition No. 849/70.
"The Lt. Governor of Delhi amended the Delhi Poisons Rules, 1926 by the Notification No. F.10/44/72 fin.","(G) dated 7.8.1973 by including to the list of substances in cluded in the Rules as ""Poisons"", the substance commonly known as ""thinner"" containing spirit and other soluble material."
"Under section 3(b), , a sale or purchase of goods is deemed to take place in the course of inter State trade or commerce if the sale or purchase is effected by a transfer of documents of rifle to the goods during their movement from one State to another.","Section 7(3 ) provides that on the application of the dealer the prescribed authority shall register the applicant and grant him a registration certificate which shall specify the class or classes of goods for the purpose of section 8(1); and the Form prescribed by r. 3, Central Sales Tax (Registration and Turnover) Rules, 1957, for application for registration, requires the purposes for which the goods were purchased by the dealer to be specified, resale being one such purpose."
il Appeals Nos. 213A and 213B of 1953.,"Appeals by Special Leave against the Judgment and Order dated the 24th June, 1953, of the Election Tribunal, Ludhiana, in Election Petition No. 153 of 1952."
A firm consisted of 18 partners.,The partnership deed did not show that any of the partners joined the deed as representatives of their Hindu Undivided Families.
In 2007 the Respondent (PBL) purchased the former Chelsea Barracks in London from the Ministry of Defence (MoD) for 959m.,"In order make the purchase, PBL obtained finance from a Qatari Bank, Masraf al Rayan (MAR), which specialises in Islamic finance."
ON: Criminal Appeal No. 117 of 1961.,"27 Appeal from the judgment and order dated March 21, 1960 ', of the Calcutta High Court in Criminal Revision No. 376 of 1957."
Civil Appeal No. 76 of 1952.,"Appeal from the judgment and order dated September 22, 1959 of the Calcutta High Court in Appeal from original order No. 230/1958."
Appeals Nos.,207 to 209 of 1961.
Civil Appeal Nos.,2062 2063/ 78.
ivil Appeal Nos.,4 132 4 133 (NCE) of 1986.
: Civil Appeal No. 2006 of 1968.,(From the Judgment and Decree dated 26 11 1961 of the Punjab High Court Circuit Bench at Delhi in Execution Second Appeal No. 158 D of 1964).
"Previous enmity between the appellant Ramaswami Ayyangar and the deceased Kaliaperumal resulted in an occurrence, in which Kaliaperumal got seriously injured and died in the hospital.","Various charges were framed against the six accused, including those of murder and rioting."
The respondents instituted a passing off action in the High Court of Mysore for a declaration that they were exclusive owners of a certain trade mark and for a permanent injunction restraining the appellants from passing off their goods as that of respondents.,By section 105 of the Trade and Merchandise Mark Act such an action may be instituted in any court not inferior to a District Court having jurisdiction to try the suit.
"Dismissing the special leave petition, the Court ^ HELD: (1) The legislature has no doubt plenary power in the matter of enactment of statutes and can itself make retrospective laws subject, of course, to the constitutional limitations.",But it is trite law that a delegate cannot exercise the same power unless there is special conferment thereof to be spelled out from the express words of the delegation or by compelling implication.
ivil Appeal No. 3081 of 1988.,From the Judgment and Order dated 25.
Criminal Appeal No. 106 of 1987.,From the Judgment and Order dated 9.9.
"The Le Strange family (the Estate) is the owner of a substantial amount of land adjoining the east side of the foreshore (the Foreshore) on the east side of the Wash, on the west coast of Norfolk (the Wash), as well as holding an exclusive right to take cockles and mussels from the Foreshore (the Right).","In 1970, the Estate granted a lease of the Right to Mr John Loose, who is still holding over under that lease."
"Where a case was heard by a Bench of two Judges and the judgment was signed by both of them but it was delivered in court by one of them after the death of the other: Held, that there was no valid judgment and the case should be re heard.","A judgment is the final decision of the court intimated to the parties and the world at large by formal ""pronouncement or ""delivery"" in open court and until a judgment is delivered the judges have a right to change their mind."
"An Ambassador car No. MHX 3771 was purchased by M/s. Karamchand Thapar & Bros. (Coal Sales) Ltd, Delhi in the year 1966 and was transferred to respondent No. I United Collieries Ltd., the owners in relation to the North Chirimiri Collieries, and it was, therefore, the owner of the said vehicle.","On and from the appointed day i.e. May 1, 1973, the right, title and interest of the owners in relation to the coal mines specified in the schedule stood transferred to and became vested in the Central Government free from all encumbrances, under sub section (1) of section 3 of the ."
"A registered partition award made by Panchas between all the co sharers provided : ""Mouza Telibandha together with all rights and interests of proprietorship has been given to Ramsaranlal. for the undermentioned purposes.",From the profits and income Ramsaranlal shall incur expenses.
"Appeal (Criminal Appeal No. 3 of 1950) from a judgment of the High Court of Judica ture at Patna dismissing a petition to revise an order of the Sessions Judge, Patna, convicting the appellant for an offence under section 186, Indian Penal Code: The facts of the ease appear in the judgment.","N.C. Chatterjee (Rameshwar Nath, with him) for the appellant."
"This appeal concerns the permissibility and in particular compatibility with European Union law and Human Rights Convention rights, of a procedure (conveniently described as a closed material procedure) whereby an applicant and his representatives may be excluded from certain aspects of employment tribunal proceedings on grounds of national security, and a special advocate may represent his interests so far as possible in relation to the aspects closed to him and his representatives.","In the relevant employment tribunal proceedings, the appellant, Mr Kashif Tariq, complains that his security clearance as an immigration officer was withdrawn in circumstances involving direct or indirect discrimination on grounds of race and/or religion, and that this was contrary to the Race Relations Act 1976 and the Employment Equality (Religion or Belief) Regulations 2003 (SI 2003/1660)."
"The plaintiff respondent claiming to be an assignee of a debt under a deed dated 27th April, 1965, filed a suit against the defendant appellant for recovery of a certain sum alleged to be due to M /s Chitra Multipurpose Cooperative Society, the assignor.","On an interlocutory application moved by the respondent under order XI rules 14 and 18 C.P.C. for the production of certain documents, despite the objection by the appellant the Trial Court directed their production."
"Section 103A of the Employment Rights Act 1996 (the Act) provides: An employee who is dismissed shall be regarded for the purposes of this Part as unfairly dismissed if the reason (or, if more than one, the principal reason) for the dismissal is that the employee made a protected disclosure.","In this appeal the dispute surrounds the reason for the dismissal of Ms Jhuti, the appellant, from her employment by Royal Mail Group Ltd (the company)."
APPEAL No. 560 or 1964.,"Appeal from the judgment and order dated August 11, 1961 of the Madras High Court in Writ Petition No. 295, of 1958."
